venue,cell,run_label,trades,cand,pct_cut,ret_fw,dd_fw,mar_fw,sharpe_fw,funding_mode,funding_ret,early_n_months,early_trades,early_ret,early_dd,early_mar,early_sharpe,recent_n_months,recent_trades,recent_ret,recent_dd,recent_mar,recent_sharpe,exits_json
bybit,00_baseline,full_pit_universe,798,908,0.0,0.31147309943219925,-0.23996880398621467,0.3741072752572926,0.5764615920036295,partial,-0.06254375583333333,23,382,0.5266842230089981,-0.14308631015494122,1.505799251432743,1.2617814651932129,12,416,-0.13046442367468047,-0.18590122709451362,-0.7113203891897822,-0.8459989633953933,"{""exit_event_decay"": 434, ""exit_take_profit"": 48, ""exit_max_hold"": 74, ""exit_data_end"": 3, ""exit_stop_loss"": 239}"
bybit,age,full_pit_universe,579,615,27.44360902255639,0.7144405394844195,-0.17680166799309038,1.0542745542352467,1.2751430937656856,partial,-0.0552609125,22,287,0.48562499493698774,-0.11469382817814278,1.7461546201427922,1.2416633746833088,12,292,0.15901912043658184,-0.14583894979650935,1.1074967071367756,0.9397206684612471,"{""exit_event_decay"": 333, ""exit_take_profit"": 30, ""exit_max_hold"": 56, ""exit_data_end"": 2, ""exit_stop_loss"": 158}"
bybit,rmom,full_pit_universe,69,69,91.35338345864662,0.3613546222214943,-0.03330379010269846,3.085196438721873,2.401893511239151,modeled,-0.005671245000000003,6,15,0.07046605322427002,-0.026604928642207315,1.1990837421507028,1.5844170439819998,12,54,0.2721830746702514,-0.014386242689863327,19.230677195630374,2.853883422807576,"{""exit_event_decay"": 55, ""exit_take_profit"": 5, ""exit_max_hold"": 2, ""exit_stop_loss"": 7}"
bybit,age_rmom,full_pit_universe,39,39,95.11278195488721,0.16753024917723325,-0.0363761964539856,1.3837356936348997,2.343852724267377,modeled,-0.00147555,3,8,0.048712158848519316,-0.008441657459743346,2.627104759672412,1.8011019549904184,11,31,0.11330769843691524,-0.014269903038883092,8.062544896335954,1.6753989726067207,"{""exit_event_decay"": 28, ""exit_take_profit"": 4, ""exit_max_hold"": 1, ""exit_stop_loss"": 6}"
bybit,age_rmom_ff6,full_pit_universe,39,39,95.11278195488721,0.16753024917723325,-0.0363761964539856,1.3837356936348997,2.343852724267377,modeled,-0.00147555,3,8,0.048712158848519316,-0.008441657459743346,2.627104759672412,1.8011019549904184,11,31,0.11330769843691524,-0.014269903038883092,8.062544896335954,1.6753989726067207,"{""exit_event_decay"": 28, ""exit_take_profit"": 4, ""exit_max_hold"": 1, ""exit_stop_loss"": 6}"
binance,00_baseline,full_pit_universe,519,586,0.0,-0.1710430585670074,-0.428162654239889,-0.1378795024669492,-0.38027349154011897,missing,0.0,22,185,0.3767484362097624,-0.08564742826289506,1.8549750778080505,1.5260707633865802,11,334,-0.3947178877395633,-0.3947178877395633,-1.0703672136696587,-3.4388200558707105,"{""exit_event_decay"": 286, ""exit_take_profit"": 20, ""exit_max_hold"": 50, ""exit_stop_loss"": 163}"
binance,age,full_pit_universe,307,314,40.84778420038536,0.21950007344173916,-0.12586788813803873,0.5282275260919552,0.7101857197900204,missing,0.0,22,116,0.23403312023589073,-0.03943905731171482,2.582150107170867,1.1799312214926163,12,191,-0.00898003984683704,-0.09972772612560055,-0.09842901118394899,-0.014842405247939297,"{""exit_event_decay"": 177, ""exit_take_profit"": 12, ""exit_max_hold"": 33, ""exit_data_end"": 1, ""exit_stop_loss"": 84}"
binance,rmom,full_pit_universe,55,55,89.40269749518305,0.37322887424627593,-0.017114475976849453,6.331478703090673,2.882244292068119,missing,0.0,3,4,0.03469989472414525,0.0,nan,2.706899559899363,10,51,0.32907676985063117,-0.011201910839521934,32.57730577733331,4.371091847416429,"{""exit_event_decay"": 45, ""exit_take_profit"": 6, ""exit_max_hold"": 2, ""exit_stop_loss"": 2}"
binance,age_rmom,full_pit_universe,24,24,95.37572254335261,0.17866770523040088,-0.012446029529130098,4.400609767148904,1.7139753022252362,missing,0.0,2,3,0.03344077985429883,0.0,nan,3.4788477720239386,8,21,0.1421599095783186,-0.012295720149503975,12.724188064388596,2.3607896509252453,"{""exit_event_decay"": 18, ""exit_take_profit"": 4, ""exit_stop_loss"": 2}"
binance,age_rmom_ff6,full_pit_universe,24,24,95.37572254335261,0.17866770523040088,-0.012446029529130098,4.400609767148904,1.7139753022252362,missing,0.0,2,3,0.03344077985429883,0.0,nan,3.4788477720239386,8,21,0.1421599095783186,-0.012295720149503975,12.724188064388596,2.3607896509252453,"{""exit_event_decay"": 18, ""exit_take_profit"": 4, ""exit_stop_loss"": 2}"
